complaint_id,date_id,customer_id,part_id,defect_id,complaint_qty,cost_impact,status
800041,20250217,2,1015,2,66,17688,Closed
800042,20250714,1,1015,1,11,2948,Under Investigation
800043,20250219,5,1024,2,11,4708,Under Investigation
800044,20250703,1,1022,1,31,12958,Under Investigation
800045,20250626,3,1014,5,11,4763,Closed
800046,20251106,1,1026,1,66,29238,Under Investigation
800047,20250516,2,1028,5,31,10292,Closed
800048,20250123,2,1023,2,31,14880,Under Investigation
800049,20250824,1,1014,1,11,4763,Open
800050,20251002,5,1024,5,31,13268,Under Investigation
800051,20250305,3,1002,5,31,8525,Under Investigation
800052,20250713,5,1013,2,31,8122,Under Investigation
800053,20250210,4,1026,6,11,4873,Open
800054,20251010,2,1014,2,31,13423,Open
800055,20250531,5,1027,1,66,28380,Closed
800056,20251118,1,1024,1,11,4708,Open
800057,20251113,1,1019,1,11,3982,Closed
800058,20250705,1,1007,5,11,3190,Open
800059,20251023,1,1003,1,31,6262,Under Investigation
800060,20250409,2,1015,5,31,8308,Under Investigation
800061,20251227,1,1023,5,31,14880,Under Investigation
800062,20250205,4,1014,1,11,4763,Under Investigation
800063,20250124,2,1011,3,11,5335,Open
800064,20251205,1,1015,1,31,8308,Open
800065,20250427,2,1028,1,31,10292,Under Investigation
800066,20250529,1,1013,2,66,17292,Under Investigation
800067,20250210,4,1018,5,11,5346,Closed
800068,20250430,1,1026,2,31,13733,Closed
800069,20250221,5,1006,5,31,9672,Closed
800070,20250714,3,1003,1,31,6262,Closed
800071,20250523,1,1019,3,31,11222,Under Investigation
800072,20250821,1,1015,3,31,8308,Open
800073,20251122,4,1025,2,66,18546,Closed
800074,20250706,3,1023,1,11,5280,Under Investigation
800075,20250325,3,1005,5,11,4587,Under Investigation
800076,20250709,3,1028,5,31,10292,Open
800077,20250701,1,1010,1,31,6975,Under Investigation
800078,20250418,2,1007,6,11,3190,Under Investigation
800079,20251210,1,1025,1,11,3091,Closed
800080,20250517,4,1017,7,11,5181,Under Investigation
800081,20251226,3,1007,5,66,19140,Under Investigation
800082,20251216,1,1022,1,11,4598,Closed
800083,20251128,1,1026,5,11,4873,Open
800084,20250206,1,1030,4,11,3751,Under Investigation
800085,20251108,1,1012,2,11,3597,Open
800086,20251122,3,1025,3,11,3091,Closed
800087,20250329,3,1017,2,31,14601,Closed
800088,20251001,4,1013,2,11,2882,Open
800089,20250506,2,1020,4,66,28116,Closed
800090,20250325,1,1025,1,11,3091,Open
800091,20250825,3,1004,5,31,7874,Closed
800092,20250714,3,1010,1,66,14850,Closed
800093,20250519,2,1003,8,31,6262,Closed
800094,20251124,3,1009,7,31,13547,Open
800095,20251219,2,1013,1,11,2882,Closed
800096,20251013,2,1018,2,11,5346,Closed
800097,20250423,2,1015,6,31,8308,Under Investigation
800098,20251217,1,1004,1,66,16764,Closed
800099,20250616,1,1015,5,31,8308,Open
800100,20250129,1,1022,6,31,12958,Closed
800101,20250428,3,1002,1,31,8525,Open
800102,20250117,1,1015,2,31,8308,Closed
800103,20250611,2,1008,1,11,5115,Under Investigation
800104,20250725,5,1008,6,31,14415,Open
800105,20250518,1,1017,7,66,31086,Open
800106,20250203,2,1012,7,11,3597,Open
800107,20250419,3,1019,5,31,11222,Under Investigation
800108,20251018,1,1010,4,11,2475,Under Investigation
800109,20250611,1,1009,4,31,13547,Under Investigation
800110,20250419,1,1005,1,11,4587,Open
800111,20251202,1,1006,3,31,9672,Open
800112,20250913,5,1020,1,31,13206,Closed
800113,20250722,4,1026,5,11,4873,Open
800114,20251126,3,1002,1,31,8525,Closed
800115,20250823,4,1027,1,31,13330,Closed
800116,20250315,4,1024,1,66,28248,Under Investigation
800117,20250516,1,1027,2,11,4730,Under Investigation
800118,20250313,4,1013,1,11,2882,Closed
800119,20250507,2,1006,2,11,3432,Open
800120,20251015,4,1005,1,66,27522,Open
800121,20251003,4,1025,1,66,18546,Open
800122,20250515,1,1001,5,31,10044,Closed
800123,20251027,1,1021,3,66,30228,Open
800124,20250808,1,1022,1,31,12958,Under Investigation
800125,20251026,2,1021,2,31,14198,Closed
800126,20250724,4,1006,4,11,3432,Closed
800127,20250705,4,1006,2,31,9672,Under Investigation
800128,20250423,1,1023,1,11,5280,Open
800129,20250312,2,1016,1,66,28842,Closed
800130,20250918,2,1004,4,31,7874,Under Investigation
800131,20250910,1,1030,1,31,10571,Open
800132,20250216,1,1011,4,11,5335,Open
800133,20250125,1,1030,5,11,3751,Closed
800134,20250226,5,1030,6,11,3751,Under Investigation
800135,20250320,1,1030,3,11,3751,Closed
800136,20251118,2,1024,8,11,4708,Closed
800137,20250323,3,1023,5,66,31680,Under Investigation
800138,20251215,2,1009,3,31,13547,Under Investigation
800139,20250805,5,1023,5,11,5280,Under Investigation
800140,20251102,5,1003,5,11,2222,Under Investigation
800141,20250202,1,1019,2,31,11222,Under Investigation
800142,20250717,2,1008,4,31,14415,Closed
800143,20250715,1,1005,8,31,12927,Under Investigation
800144,20251102,1,1004,3,66,16764,Closed
800145,20250828,1,1024,5,31,13268,Under Investigation
800146,20250928,3,1006,5,66,20592,Under Investigation
800147,20250509,2,1002,2,66,18150,Under Investigation
800148,20251011,1,1020,1,11,4686,Under Investigation
800149,20250106,1,1028,1,66,21912,Closed
800150,20251215,5,1011,5,11,5335,Open
800151,20250228,1,1004,1,66,16764,Under Investigation
800152,20251216,1,1015,1,11,2948,Open
800153,20251002,2,1006,1,66,20592,Under Investigation
800154,20250517,5,1022,1,66,27588,Under Investigation
800155,20251125,1,1017,1,66,31086,Under Investigation
800156,20250624,3,1030,8,31,10571,Closed
800157,20250227,3,1024,5,11,4708,Under Investigation
800158,20250531,1,1006,5,11,3432,Closed
800159,20250811,3,1019,2,31,11222,Under Investigation
800160,20250322,2,1030,1,11,3751,Under Investigation
800161,20250821,3,1025,7,31,8711,Open
800162,20250102,3,1002,3,11,3025,Open
800163,20250515,2,1015,1,66,17688,Under Investigation
800164,20250914,1,1011,5,31,15035,Under Investigation
800165,20250402,4,1008,4,66,30690,Open
800166,20250917,1,1026,7,11,4873,Open
800167,20250224,1,1019,5,66,23892,Open
800168,20251117,1,1013,2,66,17292,Closed
800169,20250602,2,1012,1,31,10137,Under Investigation
800170,20251124,3,1005,8,31,12927,Under Investigation
800171,20250917,1,1006,1,31,9672,Open
800172,20251108,2,1026,7,11,4873,Under Investigation
800173,20250412,1,1022,2,31,12958,Open
800174,20250320,3,1004,2,11,2794,Open
800175,20250711,1,1019,5,11,3982,Under Investigation
800176,20250324,3,1020,1,11,4686,Open
800177,20251004,2,1001,1,11,3564,Open
800178,20250929,5,1020,1,11,4686,Open
800179,20250101,1,1017,1,11,5181,Open
800180,20251103,1,1012,3,66,21582,Open
800181,20250615,1,1015,5,31,8308,Under Investigation
800182,20250908,5,1001,1,66,21384,Closed
800183,20250110,4,1026,7,31,13733,Under Investigation
800184,20250227,1,1014,4,11,4763,Under Investigation
800185,20250705,3,1006,6,31,9672,Open
800186,20250607,4,1005,8,31,12927,Closed
800187,20250503,2,1030,1,11,3751,Under Investigation
800188,20250130,2,1011,5,31,15035,Open
800189,20250504,1,1004,3,11,2794,Under Investigation
800190,20251018,1,1013,2,31,8122,Open
800191,20250210,4,1011,1,31,15035,Under Investigation
800192,20250213,5,1003,3,11,2222,Under Investigation
800193,20250906,3,1001,1,11,3564,Closed
800194,20250205,1,1006,1,31,9672,Under Investigation
800195,20250930,1,1018,5,31,15066,Closed
800196,20250306,3,1024,5,11,4708,Closed
800197,20250307,4,1010,5,66,14850,Open
800198,20251204,4,1005,1,11,4587,Open
800199,20250901,3,1023,4,31,14880,Under Investigation
800200,20251009,3,1010,1,66,14850,Under Investigation
800201,20250326,1,1012,1,11,3597,Under Investigation
800202,20250516,1,1002,4,11,3025,Closed
800203,20250928,4,1013,7,11,2882,Closed
800204,20251107,3,1008,4,11,5115,Under Investigation
800205,20250805,1,1002,3,11,3025,Under Investigation
800206,20250419,1,1020,2,31,13206,Closed
800207,20251004,3,1001,5,11,3564,Closed
800208,20251220,1,1005,1,31,12927,Closed
800209,20250413,1,1009,5,66,28842,Open
800210,20250609,2,1017,5,66,31086,Under Investigation
800211,20250724,3,1009,1,31,13547,Open
800212,20251210,3,1011,2,11,5335,Open
800213,20251129,1,1015,5,31,8308,Open
800214,20250711,3,1024,1,31,13268,Under Investigation
800215,20250813,1,1006,1,31,9672,Under Investigation
800216,20250922,1,1023,2,11,5280,Open
800217,20250820,3,1003,1,66,13332,Under Investigation
800218,20250303,3,1030,4,31,10571,Under Investigation
800219,20250507,4,1017,5,11,5181,Under Investigation
800220,20250426,3,1005,5,11,4587,Open
800221,20250202,2,1030,5,31,10571,Under Investigation
800222,20250623,1,1028,3,66,21912,Closed
800223,20250111,2,1012,1,31,10137,Open
800224,20251029,1,1018,2,31,15066,Open
800225,20251011,1,1014,5,11,4763,Under Investigation
800226,20250428,5,1021,1,31,14198,Closed
800227,20251029,2,1024,4,31,13268,Under Investigation
800228,20250423,4,1011,3,11,5335,Under Investigation
800229,20250104,3,1009,2,11,4807,Under Investigation
800230,20250206,3,1002,4,31,8525,Under Investigation
800231,20251229,2,1012,4,11,3597,Open
800232,20251120,2,1003,2,31,6262,Under Investigation
800233,20250131,2,1003,4,11,2222,Closed
800234,20250428,1,1001,2,11,3564,Under Investigation
800235,20250204,3,1008,2,11,5115,Closed
800236,20250117,1,1022,2,66,27588,Closed
800237,20250619,1,1028,3,66,21912,Open
800238,20250206,3,1029,1,66,21516,Closed
800239,20250921,1,1008,4,31,14415,Open
800240,20250502,5,1011,4,11,5335,Under Investigation
800241,20250523,5,1009,1,31,13547,Open
800242,20251209,5,1005,3,31,12927,Open
800243,20250906,2,1014,1,66,28578,Under Investigation
800244,20250420,1,1028,1,11,3652,Open
800245,20251004,5,1030,2,31,10571,Under Investigation
800246,20250309,2,1003,1,11,2222,Under Investigation
800247,20251020,5,1021,3,11,5038,Open
800248,20251023,5,1005,4,31,12927,Open
800249,20250831,4,1005,5,31,12927,Under Investigation
800250,20250505,1,1019,1,11,3982,Under Investigation
800251,20250831,2,1027,1,11,4730,Closed
800252,20250728,4,1014,2,31,13423,Under Investigation
800253,20250408,1,1026,8,31,13733,Closed
800254,20250218,1,1030,2,66,22506,Under Investigation
800255,20250219,2,1004,1,66,16764,Under Investigation
800256,20251204,5,1025,2,31,8711,Under Investigation
800257,20250809,3,1013,5,11,2882,Open
800258,20250701,2,1010,3,31,6975,Under Investigation
800259,20250805,1,1025,1,31,8711,Closed
800260,20250730,3,1018,3,11,5346,Under Investigation
800261,20250828,5,1008,5,66,30690,Closed
800262,20250128,1,1008,7,11,5115,Closed
800263,20251211,2,1007,1,66,19140,Closed
800264,20251201,4,1008,2,31,14415,Closed
800265,20251127,3,1014,6,31,13423,Under Investigation
800266,20250220,3,1019,1,31,11222,Under Investigation
800267,20250201,3,1029,6,66,21516,Under Investigation
800268,20250726,2,1006,2,31,9672,Under Investigation
800269,20250623,1,1001,1,31,10044,Under Investigation
800270,20250225,4,1023,1,11,5280,Closed
800271,20250508,4,1015,2,31,8308,Under Investigation
800272,20250409,4,1001,1,11,3564,Under Investigation
800273,20250408,5,1025,5,31,8711,Open
800274,20251002,2,1017,1,31,14601,Under Investigation
800275,20250818,2,1001,2,31,10044,Open
800276,20250313,3,1015,1,11,2948,Closed
800277,20250805,3,1023,4,11,5280,Under Investigation
800278,20250404,3,1002,7,31,8525,Open
800279,20250523,3,1014,7,11,4763,Open
800280,20250825,4,1021,2,11,5038,Under Investigation
800281,20250508,1,1008,1,11,5115,Under Investigation
800282,20250208,2,1008,3,66,30690,Under Investigation
800283,20250815,1,1019,1,31,11222,Open
800284,20251009,2,1007,1,11,3190,Under Investigation
800285,20250220,1,1019,1,11,3982,Under Investigation
800286,20250126,2,1006,5,11,3432,Under Investigation
800287,20251130,2,1006,3,31,9672,Under Investigation
800288,20251004,1,1003,2,31,6262,Under Investigation
800289,20250108,2,1007,5,11,3190,Open
800290,20250217,1,1019,1,11,3982,Closed
800291,20250502,1,1008,8,11,5115,Under Investigation
800292,20250327,4,1010,5,31,6975,Under Investigation
800293,20250728,2,1020,5,31,13206,Open
800294,20250906,1,1015,1,11,2948,Under Investigation
800295,20250904,2,1015,3,11,2948,Open
800296,20250420,3,1029,2,11,3586,Under Investigation
800297,20250725,1,1001,1,66,21384,Closed
800298,20250131,3,1020,1,11,4686,Under Investigation
800299,20250326,1,1030,2,31,10571,Open
800300,20250714,1,1007,2,31,8990,Open
800301,20250102,2,1027,1,11,4730,Under Investigation
800302,20250719,2,1004,7,11,2794,Open
800303,20250516,3,1029,1,11,3586,Open
800304,20250821,3,1006,5,31,9672,Closed
800305,20250527,5,1025,7,31,8711,Under Investigation
800306,20250805,2,1001,5,31,10044,Open
800307,20251223,1,1029,2,31,10106,Closed
800308,20251012,3,1005,5,11,4587,Open
800309,20251205,1,1027,1,66,28380,Closed
800310,20250907,2,1023,8,31,14880,Under Investigation
800311,20250321,1,1001,5,11,3564,Closed
800312,20250408,1,1030,6,66,22506,Under Investigation
800313,20250601,5,1004,1,31,7874,Closed
800314,20250422,4,1022,1,31,12958,Closed
800315,20250130,3,1002,1,31,8525,Open
800316,20251024,2,1010,2,66,14850,Closed
800317,20251005,1,1005,5,31,12927,Under Investigation
800318,20250201,1,1027,4,11,4730,Under Investigation
800319,20250610,1,1010,5,11,2475,Under Investigation
800320,20250130,2,1001,7,66,21384,Under Investigation
800321,20250126,3,1022,1,11,4598,Open
800322,20251027,3,1006,4,11,3432,Under Investigation
800323,20250902,1,1013,3,31,8122,Under Investigation
800324,20250915,5,1015,3,31,8308,Closed
800325,20250929,3,1004,4,31,7874,Closed
800326,20250322,2,1013,3,66,17292,Under Investigation
800327,20250130,3,1024,2,11,4708,Under Investigation
800328,20250918,2,1020,1,11,4686,Open
800329,20250211,1,1024,1,11,4708,Open
800330,20250406,2,1015,6,66,17688,Open
800331,20250205,3,1029,2,31,10106,Under Investigation
800332,20251101,1,1008,3,11,5115,Open
800333,20250204,1,1005,5,66,27522,Closed
800334,20251212,1,1029,1,66,21516,Under Investigation
800335,20250501,1,1015,1,66,17688,Under Investigation
800336,20250726,4,1004,2,66,16764,Under Investigation
800337,20250303,3,1012,5,11,3597,Open
800338,20251019,2,1013,1,31,8122,Under Investigation
800339,20250507,1,1002,5,31,8525,Under Investigation
800340,20251024,2,1027,1,66,28380,Under Investigation
800341,20251101,2,1019,5,31,11222,Under Investigation
800342,20250121,1,1019,1,31,11222,Closed
800343,20251114,2,1004,3,31,7874,Closed
800344,20250211,2,1004,1,11,2794,Under Investigation
800345,20250803,3,1026,5,31,13733,Under Investigation
800346,20251203,3,1011,1,66,32010,Under Investigation
800347,20251026,1,1027,1,66,28380,Open
800348,20251017,2,1005,5,11,4587,Under Investigation
800349,20250925,3,1020,5,11,4686,Open
800350,20250611,2,1011,2,11,5335,Under Investigation
800351,20250514,4,1030,1,31,10571,Under Investigation
800352,20250415,3,1010,2,66,14850,Open
800353,20251209,1,1008,4,11,5115,Closed
800354,20250610,1,1006,3,31,9672,Closed
800355,20250503,3,1006,1,66,20592,Closed
800356,20250516,1,1008,5,31,14415,Under Investigation
800357,20250722,2,1023,1,31,14880,Closed
800358,20250309,5,1015,1,31,8308,Open
800359,20251210,2,1026,8,31,13733,Closed
800360,20251127,2,1014,1,11,4763,Open
800361,20250603,3,1011,5,31,15035,Closed
800362,20250823,2,1012,2,31,10137,Open
800363,20250611,2,1026,2,66,29238,Closed
800364,20250207,5,1013,5,31,8122,Closed
800365,20250105,2,1008,1,31,14415,Open
800366,20250823,5,1030,1,11,3751,Under Investigation
800367,20251115,5,1018,5,31,15066,Closed
800368,20251016,1,1025,1,11,3091,Under Investigation
800369,20250221,1,1001,5,11,3564,Closed
800370,20250207,1,1015,1,31,8308,Under Investigation
800371,20251003,1,1008,1,66,30690,Under Investigation
800372,20250420,1,1028,5,11,3652,Open
800373,20250917,3,1011,1,31,15035,Open
800374,20250516,1,1012,5,66,21582,Closed
800375,20250309,1,1012,2,11,3597,Under Investigation
800376,20250628,4,1004,3,31,7874,Under Investigation
800377,20250205,1,1016,1,31,13547,Under Investigation
800378,20250506,4,1004,1,31,7874,Under Investigation
800379,20250709,1,1005,1,11,4587,Closed
800380,20250526,1,1024,2,11,4708,Closed
800381,20250322,3,1005,2,31,12927,Under Investigation
800382,20250813,3,1008,1,31,14415,Closed
800383,20251006,4,1010,6,11,2475,Closed
800384,20251227,3,1017,1,31,14601,Under Investigation
800385,20250604,4,1028,5,11,3652,Closed
800386,20251110,1,1026,2,31,13733,Open
800387,20251201,1,1009,4,11,4807,Open
800388,20250928,3,1022,2,66,27588,Closed
800389,20250105,4,1019,3,11,3982,Under Investigation
800390,20251208,5,1029,1,11,3586,Closed
800391,20251011,2,1014,3,11,4763,Closed
800392,20250603,2,1008,1,11,5115,Open
800393,20251206,3,1009,6,66,28842,Closed
800394,20250223,1,1022,5,66,27588,Under Investigation
800395,20250310,5,1011,3,11,5335,Under Investigation
800396,20250516,4,1023,5,31,14880,Under Investigation
800397,20250301,2,1001,2,31,10044,Closed
800398,20250224,3,1014,5,66,28578,Open
800399,20251011,3,1005,2,31,12927,Under Investigation
800400,20250321,1,1021,1,11,5038,Under Investigation
800401,20250520,5,1026,1,31,13733,Closed
800402,20250525,2,1014,1,31,13423,Under Investigation
800403,20251106,4,1004,1,11,2794,Open
800404,20250418,1,1022,4,31,12958,Open
800405,20250625,4,1023,1,11,5280,Under Investigation
800406,20250415,2,1025,7,31,8711,Closed
800407,20251218,1,1001,1,11,3564,Open
800408,20251121,5,1022,1,31,12958,Open
800409,20250516,1,1023,3,31,14880,Closed
800410,20250916,1,1019,2,31,11222,Open
800411,20250908,5,1008,5,11,5115,Closed
800412,20250509,5,1015,5,31,8308,Under Investigation
800413,20250127,2,1021,2,31,14198,Closed
800414,20250217,3,1015,1,31,8308,Open
800415,20251121,2,1009,8,31,13547,Open
800416,20250805,1,1021,7,31,14198,Closed
800417,20250522,1,1009,2,66,28842,Closed
800418,20250123,3,1010,1,11,2475,Closed
800419,20250102,3,1020,2,66,28116,Open
800420,20250620,3,1025,1,31,8711,Closed
800421,20250308,3,1021,1,11,5038,Closed
800422,20251123,1,1026,1,11,4873,Under Investigation
800423,20250515,2,1009,5,11,4807,Closed
800424,20250324,1,1003,4,31,6262,Closed
800425,20250815,2,1020,2,31,13206,Under Investigation
800426,20251010,2,1025,2,31,8711,Open
800427,20251228,4,1026,5,31,13733,Under Investigation
800428,20250807,2,1011,1,31,15035,Open
800429,20251015,1,1006,5,11,3432,Under Investigation
800430,20250105,1,1002,8,11,3025,Under Investigation
800431,20250227,3,1007,1,31,8990,Open
800432,20250208,3,1018,4,11,5346,Under Investigation
800433,20251220,1,1027,5,11,4730,Open
800434,20250318,1,1002,5,31,8525,Closed
800435,20251007,3,1027,2,31,13330,Closed
800436,20250119,1,1017,5,66,31086,Open
800437,20250709,4,1011,4,66,32010,Closed
800438,20251026,3,1027,6,31,13330,Under Investigation
800439,20251010,1,1012,5,31,10137,Open
800440,20250317,1,1027,1,31,13330,Open
800441,20250809,5,1019,5,31,11222,Under Investigation
800442,20250307,2,1022,6,11,4598,Closed
800443,20250122,2,1024,1,31,13268,Closed
800444,20250607,4,1025,2,66,18546,Open
800445,20250706,5,1007,2,11,3190,Open
800446,20250121,5,1020,2,31,13206,Under Investigation
800447,20250703,3,1006,1,31,9672,Open
800448,20250418,2,1021,2,11,5038,Open
800449,20251216,1,1024,6,11,4708,Open
800450,20250508,3,1001,1,11,3564,Closed
800451,20251208,2,1017,1,11,5181,Closed
800452,20250222,2,1029,7,11,3586,Under Investigation
800453,20250701,5,1011,1,66,32010,Closed
800454,20251014,1,1022,4,11,4598,Under Investigation
800455,20250728,2,1026,5,31,13733,Under Investigation
800456,20251114,1,1028,1,11,3652,Open
800457,20250321,2,1018,4,66,32076,Under Investigation
800458,20250502,1,1021,5,11,5038,Closed
800459,20250325,1,1017,5,31,14601,Under Investigation
800460,20250401,1,1007,5,66,19140,Under Investigation
800461,20250731,3,1017,5,66,31086,Under Investigation
800462,20250113,3,1020,1,11,4686,Open
800463,20250402,2,1009,5,66,28842,Closed
800464,20250620,5,1017,7,31,14601,Under Investigation
800465,20250730,2,1020,1,31,13206,Under Investigation
800466,20251209,1,1022,2,11,4598,Under Investigation
800467,20250508,4,1022,1,11,4598,Under Investigation
800468,20250517,1,1028,3,31,10292,Open
800469,20250323,5,1029,1,31,10106,Under Investigation
800470,20251226,1,1008,7,31,14415,Open
800471,20250225,5,1017,5,31,14601,Closed
800472,20250715,1,1007,1,31,8990,Closed
800473,20250120,4,1001,1,11,3564,Closed
800474,20250829,2,1013,1,31,8122,Under Investigation
800475,20250424,5,1030,5,11,3751,Under Investigation
800476,20250413,1,1023,1,31,14880,Open
800477,20250824,2,1019,3,31,11222,Closed
800478,20250629,5,1027,5,66,28380,Open
800479,20250606,2,1024,1,11,4708,Under Investigation
800480,20250427,3,1019,2,11,3982,Open
800481,20250425,3,1030,2,11,3751,Open
800482,20250113,2,1030,1,11,3751,Under Investigation
800483,20251204,3,1029,1,11,3586,Open
800484,20250409,2,1017,1,66,31086,Closed
800485,20250724,5,1013,2,11,2882,Under Investigation
800486,20250618,1,1029,2,11,3586,Open
800487,20250523,1,1030,5,31,10571,Under Investigation
800488,20250205,5,1016,4,31,13547,Open
800489,20250523,4,1008,3,31,14415,Open
800490,20250629,2,1019,5,11,3982,Closed
800491,20251125,3,1018,4,31,15066,Open
800492,20250918,1,1001,1,11,3564,Closed
800493,20250724,1,1014,1,11,4763,Open
800494,20251214,2,1019,1,66,23892,Open
800495,20251002,2,1015,1,11,2948,Closed
800496,20250619,2,1018,5,31,15066,Under Investigation
800497,20250115,1,1002,6,31,8525,Open
800498,20250301,5,1022,1,11,4598,Under Investigation
800499,20250514,5,1028,1,66,21912,Open
800500,20250402,3,1017,5,11,5181,Closed
800501,20251025,2,1018,6,31,15066,Under Investigation
800502,20250516,1,1030,1,66,22506,Closed
800503,20250120,4,1006,5,31,9672,Closed
800504,20250225,3,1019,1,66,23892,Under Investigation
800505,20251102,1,1004,1,11,2794,Closed
800506,20250811,5,1001,8,31,10044,Under Investigation
800507,20250626,4,1008,7,11,5115,Closed
800508,20250610,5,1029,1,31,10106,Open
800509,20250812,3,1023,7,66,31680,Under Investigation
800510,20251107,3,1007,2,11,3190,Under Investigation
800511,20250919,2,1003,4,31,6262,Under Investigation
800512,20250301,5,1010,5,11,2475,Under Investigation
800513,20250717,4,1010,5,31,6975,Closed
800514,20251023,1,1019,5,31,11222,Open
800515,20250408,1,1014,2,66,28578,Open
800516,20250511,2,1002,1,31,8525,Closed
800517,20250123,4,1028,1,11,3652,Under Investigation
800518,20251229,5,1001,1,11,3564,Closed
800519,20250812,1,1023,2,11,5280,Closed
800520,20250101,2,1023,1,11,5280,Closed
800521,20250924,2,1028,2,11,3652,Closed
800522,20251003,5,1018,7,66,32076,Open
800523,20251218,4,1007,1,31,8990,Open
800524,20251210,4,1029,2,31,10106,Closed
800525,20250411,2,1008,5,11,5115,Under Investigation
800526,20250706,2,1001,4,66,21384,Open
800527,20250809,1,1025,1,31,8711,Under Investigation
800528,20250205,1,1023,2,11,5280,Closed
800529,20251207,4,1003,4,31,6262,Under Investigation
800530,20250619,4,1024,7,31,13268,Under Investigation
800531,20251116,5,1023,2,11,5280,Under Investigation
800532,20250610,5,1027,5,31,13330,Open
800533,20251206,2,1029,2,31,10106,Under Investigation
800534,20250305,3,1008,4,11,5115,Under Investigation
800535,20250603,5,1022,5,66,27588,Open
800536,20250917,4,1025,1,66,18546,Closed
800537,20250608,1,1015,6,31,8308,Under Investigation
800538,20251208,2,1005,2,31,12927,Closed
800539,20250729,1,1003,2,31,6262,Closed
800540,20250617,5,1019,1,31,11222,Open
800541,20250726,3,1001,2,31,10044,Under Investigation
800542,20251223,1,1028,5,11,3652,Under Investigation
800543,20250601,3,1015,2,31,8308,Closed
800544,20251011,3,1008,1,66,30690,Open
800545,20250307,2,1002,2,31,8525,Under Investigation
800546,20250409,1,1003,8,11,2222,Under Investigation
800547,20250804,3,1024,1,31,13268,Open
800548,20251207,2,1014,7,11,4763,Open
800549,20250714,3,1024,5,11,4708,Under Investigation
800550,20251213,2,1014,4,11,4763,Closed
800551,20250331,4,1011,3,11,5335,Under Investigation
800552,20251112,2,1016,5,31,13547,Under Investigation
800553,20251019,2,1004,2,31,7874,Under Investigation
800554,20250604,4,1020,4,11,4686,Closed
800555,20250727,2,1005,5,66,27522,Open
800556,20251008,1,1022,1,66,27588,Closed
800557,20250101,1,1021,2,66,30228,Open
800558,20250605,3,1014,3,11,4763,Under Investigation
800559,20250527,3,1023,3,31,14880,Open
800560,20250418,3,1016,3,66,28842,Open
800561,20250809,1,1018,5,31,15066,Under Investigation
800562,20251024,1,1007,3,11,3190,Open
800563,20251107,1,1010,1,11,2475,Closed
800564,20251202,2,1007,5,31,8990,Open
800565,20250614,2,1001,1,66,21384,Under Investigation
800566,20250827,2,1023,1,31,14880,Under Investigation
800567,20250815,2,1021,5,31,14198,Open
800568,20250815,5,1019,5,11,3982,Open
800569,20251212,1,1016,2,31,13547,Under Investigation
800570,20250420,2,1029,5,66,21516,Under Investigation
800571,20250919,3,1019,5,11,3982,Under Investigation
800572,20250831,2,1004,1,31,7874,Under Investigation
800573,20250328,3,1029,5,66,21516,Under Investigation
800574,20251204,4,1028,1,11,3652,Open
800575,20250213,5,1018,1,31,15066,Under Investigation
800576,20250526,1,1002,2,11,3025,Closed
800577,20250921,5,1001,2,31,10044,Under Investigation
800578,20251206,2,1015,2,31,8308,Under Investigation
800579,20251121,1,1005,5,31,12927,Under Investigation
