grn_id,date_id,supplier_id,material_id,quantity_received,quantity_rejected,rejection_cost,ppm
900074,20250121,6,103,8626,31,2491.28,3690
900075,20250217,5,101,5827,30,1794.58,5320
900076,20250215,2,102,10172,77,6308.26,7599
900077,20250127,2,103,5600,39,2723.3,6981
900078,20250327,4,104,7634,109,7924.47,14347
900079,20250204,2,103,8543,76,3358.38,8897
900080,20250331,2,104,8482,38,2522.26,4539
900081,20250329,6,104,9333,49,2947.82,5327
900082,20250324,4,101,5463,73,3395.97,13461
900083,20250110,6,102,5317,31,2009.37,5865
900084,20250319,6,103,9421,38,3328.93,4056
900085,20250323,4,101,4388,57,4828.68,13072
900086,20250122,1,103,8381,44,2209.83,5330
900087,20250310,6,104,11624,43,3942.33,3765
900088,20250201,5,102,9937,91,6274.11,9165
900089,20250121,5,103,8940,67,3646.21,7530
900090,20250301,2,103,6509,44,5095.79,6799
900091,20250218,5,104,10967,72,4184.89,6572
900092,20250204,2,103,5253,27,1246.68,5269
900093,20250323,1,103,4657,18,1830.06,4079
900094,20250330,4,104,11626,100,9295.43,8618
900095,20250313,4,101,5147,91,6382.52,17785
900096,20250129,4,104,5658,62,6603.47,10962
900097,20250329,5,101,5712,62,4650.86,10907
900098,20250211,1,102,9731,33,3105.6,3492
900099,20250108,5,101,6891,59,5242.01,8638
900100,20250130,5,101,10355,71,5873.18,6916
900101,20250105,1,102,8070,48,5025.12,5955
900102,20250210,1,101,10684,60,6408.54,5702
900103,20250221,1,104,9026,43,4978.13,4778
900104,20250204,1,101,10218,39,3960.65,3891
900105,20250109,4,102,9256,150,12329.52,16239
900106,20250128,3,104,5655,52,5413.24,9271
900107,20250314,3,102,5267,53,2341.24,10096
900108,20250210,1,102,10873,60,4181.82,5580
900109,20250128,3,103,4680,67,7242.25,14452
900110,20250325,3,103,7670,56,5658.76,7374
900111,20250305,1,102,7469,28,3147.89,3840
900112,20250220,3,102,5414,71,3360.93,13167
900113,20250324,5,102,6637,77,5858.95,11690
900114,20250228,2,103,8727,36,2634.9,4218
900115,20250119,2,103,9495,77,5383.6,8112
900116,20250203,1,101,9326,21,1469.85,2334
900117,20250118,4,101,3461,45,5150.97,13221
900118,20250201,1,102,8493,44,2274.09,5241
900119,20250313,4,104,3627,46,5216.02,12700
900120,20250310,2,104,10740,55,5538.9,5136
900121,20250203,1,103,10685,40,3569.11,3837
900122,20250316,6,103,4298,13,786.16,3155
900123,20250224,5,103,5449,51,5876.12,9495
900124,20250316,3,102,11647,150,7334.24,12934
900125,20250221,4,104,7720,91,5832.38,11893
900126,20250216,6,101,3782,18,1324.55,4953
900127,20250129,3,102,10489,73,3567.41,7029
900128,20250118,3,101,11189,165,6816.95,14782
900129,20250307,1,101,11443,49,2908.4,4355
900130,20250305,3,102,5352,57,4237.33,10772
900131,20250112,5,101,8780,61,5224.84,6970
900132,20250107,6,104,6068,22,1801.33,3701
900133,20250115,3,101,8908,63,7325.15,7108
900134,20250120,1,104,11914,48,4939.82,4078
900135,20250322,5,104,11316,107,4454.06,9539
900136,20250121,2,104,10702,46,4179.27,4356
900137,20250329,6,103,9116,46,4590.13,5077
900138,20250224,3,101,8850,62,4190.22,7106
900139,20250318,1,102,4698,24,2077.25,5160
900140,20250109,2,102,8447,43,1872.51,5092
900141,20250219,2,101,11945,80,8406.46,6773
900142,20250218,4,103,5868,112,8643.02,19217
900143,20250318,5,103,10840,110,6004.05,10175
900144,20250301,3,104,5209,36,3502.21,7033
900145,20250309,1,101,10498,22,1396.46,2151
900146,20250202,4,101,3717,41,4545.39,11268
900147,20250312,5,102,8170,61,4955.07,7540
900148,20250102,4,101,11897,187,11269.57,15756
900149,20250329,6,103,6131,32,2193.85,5343
900150,20250115,5,101,3783,39,2595.61,10371
900151,20250329,5,102,5039,58,4027.61,11548
900152,20250310,3,104,9553,126,14057.95,13204
900153,20250204,5,102,9334,72,8488.65,7777
900154,20250324,4,102,11129,215,17157.4,19338
900155,20250213,5,104,11507,82,8535.53,7184
900156,20250115,3,102,9955,72,5360.3,7293
900157,20250207,3,102,5956,88,5588.12,14937
900158,20250225,6,101,4680,17,1125.97,3655
900159,20250121,4,101,7843,102,7718.67,13021
900160,20250228,2,104,9981,53,5044.6,5365
900161,20250101,2,101,8759,67,2907.02,7662
900162,20250203,5,101,8776,88,10546.98,10036
900163,20250306,6,102,7498,26,1196.09,3469
900164,20250123,1,103,9655,33,2674.55,3488
900165,20250306,5,101,5621,29,1491.25,5255
900166,20250114,6,103,10179,33,1653.25,3285
900167,20250322,4,101,6866,127,8801.9,18570
900168,20250208,4,101,9272,160,6814.53,17293
900169,20250323,4,104,5513,105,7979.35,19125
900170,20250306,4,104,9077,127,9590.42,14095
900171,20250319,4,104,4259,74,3775.16,17403
900172,20250126,6,103,9012,56,3648.45,6260
900173,20250120,6,102,7566,38,4439.98,5044
900174,20250217,3,101,3424,30,2397.71,9048
900175,20250121,2,101,9340,80,3953.67,8601
900176,20250311,4,101,7264,141,10673.96,19534
900177,20250309,1,103,7678,37,4192.78,4842
900178,20250101,6,104,11047,51,2540.36,4639
900179,20250318,1,102,4213,16,861.0,3851
900180,20250211,1,103,10292,24,2516.19,2359
900181,20250304,1,104,8236,38,2576.17,4735
900182,20250103,3,103,4063,60,3793.74,14882
900183,20250115,6,102,7914,33,3199.18,4290
900184,20250216,1,104,5852,30,2067.58,5250
900185,20250209,4,103,6673,66,7841.5,9988
900186,20250131,5,102,5275,36,3716.27,6939
900187,20250108,1,101,3430,11,927.54,3478
900188,20250131,3,102,9044,123,12828.03,13657
900189,20250314,6,101,5126,18,814.68,3706
900190,20250111,3,103,9523,131,10749.29,13842
900191,20250111,1,104,9708,52,4471.59,5372
900192,20250304,6,104,5053,28,2558.84,5597
900193,20250109,5,103,10372,91,8591.19,8816
900194,20250310,1,104,8644,21,2314.97,2525
900195,20250117,3,104,5981,48,3581.25,8114
900196,20250117,2,101,3907,19,1547.52,5017
900197,20250326,4,103,7982,85,4501.38,10697
900198,20250302,3,102,6694,78,9032.29,11669
900199,20250312,6,101,11501,61,6568.16,5326
900200,20250122,1,103,7105,19,1725.29,2804
900201,20250203,4,101,7496,75,6750.13,10050
900202,20250309,1,102,11740,27,2165.56,2382
900203,20250319,6,102,5762,45,5189.79,7848
900204,20250224,1,103,5526,14,1297.78,2701
900205,20250128,2,102,8531,73,3160.57,8617
900206,20250311,4,101,3464,32,1396.38,9330
900207,20250330,4,102,7336,136,7733.6,18668
900208,20250126,6,101,9825,31,2475.13,3248
900209,20250209,2,101,11938,76,6942.8,6372
900210,20250221,3,102,7949,110,6554.93,13912
900211,20250327,1,103,9653,31,2364.79,3218
900212,20250325,5,104,3981,25,1879.21,6294
900213,20250217,1,102,10933,42,2365.52,3902
900214,20250226,1,101,5353,17,1851.62,3280
900215,20250308,3,101,8231,95,11212.84,11658
900216,20250227,1,102,5142,26,1810.72,5115
900217,20250116,2,103,4739,31,1839.51,6614
900218,20250201,2,103,5007,30,2279.03,6191
900219,20250129,4,101,5308,50,2202.42,9586
900220,20250109,6,101,9293,59,3531.84,6425
900221,20250213,5,103,5616,65,4302.67,11664
900222,20250103,1,104,8123,22,2223.09,2777
900223,20250317,1,102,11163,45,3480.53,4108
900224,20250312,3,101,8055,113,4729.51,14148
900225,20250130,6,101,9442,67,5130.76,7140
900226,20250317,2,103,6944,40,3466.7,5762
900227,20250129,5,102,3797,20,1250.17,5414
900228,20250101,4,103,10710,135,11196.26,12681
900229,20250110,2,102,4761,35,1775.02,7530
900230,20250322,6,102,7333,43,4347.67,5996
900231,20250108,4,102,8995,78,5619.63,8741
900232,20250130,3,101,6189,73,6150.82,11939
900233,20250109,3,104,4204,51,4097.36,12329
900234,20250105,1,103,7582,40,4765.09,5380
900235,20250212,6,104,4946,20,2360.13,4054
900236,20250110,5,103,9453,76,7872.98,8057
900237,20250307,4,102,8555,146,16806.92,17139
900238,20250131,2,101,5363,30,2645.91,5630
900239,20250205,6,104,9576,67,2895.77,7096
900240,20250327,6,101,3637,14,1359.22,4122
900241,20250304,3,103,10761,156,11943.22,14508
900242,20250128,1,101,11446,29,1920.88,2572
900243,20250311,1,101,8218,21,1500.16,2665
900244,20250117,4,104,7902,140,9367.38,17727
900245,20250315,3,102,11351,167,13224.35,14721
900246,20250315,6,101,7911,54,5684.03,6890
900247,20250302,5,102,9035,69,6479.41,7713
900248,20250201,3,103,9824,108,11203.96,11040
900249,20250302,4,101,3436,61,4756.0,17779
900250,20250222,4,104,6728,133,5866.42,19819
900251,20250125,3,103,10871,95,7784.17,8793
900252,20250113,4,103,9229,96,10150.36,10421
900253,20250113,3,104,6968,45,3861.25,6517
900254,20250326,2,101,4800,26,1079.39,5562
900255,20250225,3,101,8139,104,5419.91,12861
900256,20250215,3,103,6340,80,6411.64,12723
900257,20250224,4,101,10726,213,9581.27,19917
900258,20250222,4,102,5262,86,4866.51,16498
900259,20250301,1,104,8325,39,3052.52,4712
900260,20250107,1,102,9173,30,3496.05,3285
900261,20250328,2,101,10531,88,5929.98,8367
900262,20250325,1,103,8804,41,4172.13,4768
900263,20250324,3,104,7331,102,5648.88,13932
900264,20250113,4,101,7038,88,7448.93,12571
900265,20250108,1,101,6684,39,4595.48,5856
900266,20250221,1,103,7876,40,2524.81,5158
900267,20250213,2,103,6396,51,3333.53,8005
900268,20250114,6,102,8714,66,7569.94,7591
900269,20250201,2,104,7480,47,2338.25,6357
900270,20250125,3,104,11899,145,16190.82,12220
900271,20250125,4,103,9464,129,15011.56,13654
900272,20250310,2,102,5399,34,1474.42,6379
900273,20250227,1,104,4294,14,1594.89,3418
900274,20250118,4,103,7201,114,6511.56,15849
900275,20250224,4,101,11824,147,16852.36,12442
900276,20250124,1,104,7450,19,926.02,2562
900277,20250205,2,102,6920,41,1806.51,5986
900278,20250301,1,102,11700,34,3095.21,2924
900279,20250201,6,102,3860,14,1022.9,3820
900280,20250110,4,101,10739,103,9733.02,9647
900281,20250226,5,104,5252,26,3046.2,5042
900282,20250312,5,104,5587,46,4242.65,8333
900283,20250113,3,101,10793,149,13714.42,13822
900284,20250107,1,104,7706,25,1570.83,3315
900285,20250325,1,101,3969,22,2232.96,5718
900286,20250311,3,101,6804,100,9909.49,14767
900287,20250102,3,101,3611,32,2349.79,8868
900288,20250112,3,102,5880,38,4551.4,6595
900289,20250131,4,104,9504,153,8400.45,16116
900290,20250122,6,101,7742,25,1018.53,3306
900291,20250222,1,104,4758,27,3203.27,5802
900292,20250304,4,102,7662,118,14057.1,15444
900293,20250303,3,101,11901,173,13755.75,14590
900294,20250128,1,103,5198,28,2249.44,5485
900295,20250221,4,102,7470,83,8690.52,11159
900296,20250108,6,103,8417,36,3545.62,4331
900297,20250122,4,104,7215,142,7795.22,19773
900298,20250218,6,104,8523,46,3929.43,5416
900299,20250101,3,102,6164,54,4799.32,8875
900300,20250219,6,104,9643,62,5035.79,6503
900301,20250203,1,103,4421,16,1496.65,3641
900302,20250228,3,101,6027,50,3909.82,8303
900303,20250206,1,101,7064,14,852.08,2027
900304,20250224,5,101,6858,59,5917.73,8659
900305,20250331,2,102,8400,54,4676.23,6473
900306,20250313,6,104,3187,16,1476.71,5142
900307,20250326,2,103,6871,30,2802.69,4508
900308,20250304,2,104,10625,69,3641.64,6513
900309,20250120,6,104,11233,62,5903.84,5547
900310,20250125,3,104,7833,94,8381.98,12021
900311,20250207,5,101,6590,40,3130.18,6094
900312,20250128,1,103,10454,52,6193.57,5062
900313,20250108,4,103,9121,135,12980.96,14813
900314,20250316,1,104,10714,54,4482.08,5102
900315,20250311,4,101,6578,79,7459.76,12054
900316,20250108,1,101,4341,18,1363.32,4152
900317,20250210,6,103,8927,32,3628.15,3639
900318,20250108,5,101,4838,26,2763.85,5505
900319,20250107,4,101,11281,127,10898.65,11312
900320,20250316,3,101,5455,47,3113.72,8695
900321,20250303,1,102,11525,43,2119.87,3809
900322,20250306,1,104,6365,31,2686.21,4936
900323,20250309,4,103,4489,73,5521.62,16361
900324,20250121,3,103,3911,52,2628.89,13429
900325,20250108,3,102,9806,132,11234.9,13484
900326,20250307,6,104,10575,58,5676.02,5524
900327,20250111,6,103,9487,48,5055.18,5084
900328,20250124,6,101,6570,50,2292.12,7737
900329,20250109,6,103,9941,57,5473.76,5822
900330,20250318,6,101,11866,41,4705.43,3493
900331,20250109,6,102,4130,28,1191.09,6867
900332,20250328,5,101,9698,62,6294.1,6474
900333,20250131,3,103,9887,119,14211.99,12135
900334,20250221,6,103,9266,61,6683.75,6674
900335,20250116,3,103,9184,111,5152.62,12154
900336,20250314,3,102,11835,96,8859.14,8178
900337,20250201,2,102,8697,43,2333.95,4971
900338,20250316,5,104,11802,97,7983.82,8219
900339,20250318,6,103,6648,20,2009.89,3028
900340,20250106,1,101,7888,30,2816.4,3896
900341,20250321,4,102,11920,178,14694.73,14948
900342,20250111,1,103,6762,20,1537.0,3013
900343,20250223,5,103,5541,40,2203.14,7258
900344,20250326,4,102,4848,41,4295.09,8527
900345,20250316,5,104,9868,99,10027.14,10037
900346,20250314,3,102,3256,32,1807.57,9943
900347,20250308,4,102,4653,82,3500.26,17731
900348,20250210,3,101,3797,38,3771.24,10009
900349,20250203,1,101,9590,36,2114.9,3797
900350,20250127,1,104,6559,33,3600.25,5089
900351,20250327,4,103,3924,40,3212.47,10295
900352,20250210,4,102,7739,91,9578.92,11836
900353,20250131,6,104,8224,63,5533.51,7730
900354,20250203,5,101,8253,57,3656.05,6940
900355,20250220,6,102,5347,38,2191.97,7270
900356,20250117,5,103,7923,57,2557.97,7254
900357,20250327,6,101,5869,38,3209.79,6499
900358,20250324,3,101,3768,43,4959.06,11642
900359,20250208,4,101,9244,153,10021.31,16592
900360,20250228,1,104,9821,36,1869.75,3672
900361,20250210,5,103,9167,59,5920.84,6506
900362,20250110,5,102,10758,75,8096.05,6974
900363,20250102,1,104,7927,43,4154.06,5512
900364,20250228,6,104,10586,36,3059.67,3472
900365,20250321,5,104,9824,93,7663.14,9565
900366,20250314,3,101,9363,93,5617.17,9978
900367,20250113,4,103,8411,156,7226.8,18595
900368,20250110,1,104,10369,56,3902.43,5469
900369,20250310,4,102,11775,233,24780.13,19871
900370,20250128,5,103,3844,27,1894.68,7199
900371,20250306,5,102,3647,20,1101.06,5596
900372,20250203,1,103,6555,25,1417.78,3963
900373,20250117,3,102,8455,92,10723.67,10967
900374,20250214,2,101,3251,18,2069.51,5735
900375,20250109,1,104,4922,24,2879.18,5059
900376,20250201,2,102,10846,64,6121.61,5987
900377,20250217,6,103,6350,39,4415.19,6249
900378,20250206,2,104,8269,52,3663.55,6318
900379,20250121,3,104,11743,139,8989.66,11886
900380,20250226,6,103,8892,64,7080.0,7200
900381,20250311,2,102,10635,51,5315.49,4807
900382,20250208,6,101,10692,60,6788.79,5623
900383,20250320,2,101,9073,59,4313.75,6563
900384,20250325,3,102,6625,55,2271.37,8390
900385,20250309,2,104,9841,63,3288.15,6418
900386,20250102,2,104,8404,49,3448.97,5884
900387,20250327,2,104,7026,56,4706.88,8090
900388,20250312,1,104,8530,26,2627.79,3054
900389,20250208,1,102,11005,65,6362.5,5958
900390,20250326,1,104,11037,42,2245.27,3887
900391,20250114,3,103,8770,76,3890.95,8773
900392,20250118,6,104,11954,83,4542.08,7000
900393,20250203,5,101,11882,121,14106.05,10257
900394,20250115,2,104,11584,49,5249.15,4277
900395,20250114,2,102,4217,18,1820.65,4397
900396,20250312,3,101,9756,80,8592.29,8252
900397,20250120,2,102,6791,30,2897.21,4556
900398,20250204,1,102,3149,9,724.13,2895
900399,20250206,5,101,9114,50,4471.34,5495
900400,20250319,4,102,10916,205,16200.81,18801
900401,20250127,2,102,3108,25,2103.29,8359
900402,20250213,1,104,3194,6,494.12,2068
900403,20250127,4,103,7501,125,14774.79,16777
900404,20250329,5,102,3280,29,3046.52,9114
900405,20250323,4,102,10054,109,5293.18,10937
900406,20250203,1,102,4578,18,934.41,4147
900407,20250306,6,104,6144,44,2648.51,7312
900408,20250304,6,103,8807,45,4661.77,5189
900409,20250202,4,101,4294,60,7004.63,14112
900410,20250107,3,104,10520,105,12517.96,9984
900411,20250112,4,104,6700,86,8146.21,12914
900412,20250323,2,103,4320,18,854.64,4259
900413,20250224,2,103,9213,65,5474.05,7089
900414,20250205,6,104,3919,12,1154.73,3077
900415,20250106,3,101,4354,61,6565.21,14189
900416,20250101,1,104,8427,36,4254.71,4317
900417,20250212,2,103,4562,37,4200.69,8326
900418,20250117,6,101,6764,32,3587.26,4731
900419,20250323,5,103,10790,77,3366.82,7220
900420,20250203,6,101,4218,22,2462.79,5296
900421,20250121,2,102,3539,19,2171.72,5469
900422,20250226,2,103,8152,33,3858.28,4128
900423,20250312,6,103,5362,33,3772.23,6262
900424,20250224,1,104,7903,21,1787.45,2665
900425,20250313,4,103,9375,178,19886.53,19092
900426,20250102,2,103,8435,60,6026.92,7144
900427,20250115,6,102,5292,19,1521.21,3642
900428,20250110,6,103,8666,29,1386.63,3439
900429,20250330,3,102,6803,49,3295.12,7245
900430,20250120,4,102,9499,126,5338.63,13347
900431,20250311,5,102,7478,85,10149.58,11418
900432,20250105,1,102,11038,32,2190.88,2934
900433,20250217,5,101,9150,78,4279.0,8537
900434,20250316,4,104,9227,86,8752.51,9404
900435,20250312,4,101,7839,94,9122.58,12037
900436,20250119,4,103,4344,53,2773.9,12390
900437,20250225,5,101,5527,61,4341.36,11059
900438,20250117,4,101,8909,86,4069.66,9745
900439,20250106,6,103,8050,53,3646.05,6643
900440,20250209,5,103,7419,43,2175.82,5837
900441,20250216,4,103,6070,91,6907.58,15061
900442,20250106,6,101,11395,72,3474.97,6342
900443,20250215,3,101,4468,52,4385.55,11798
900444,20250127,4,103,8315,118,4836.5,14311
900445,20250329,5,104,9779,79,8084.35,8176
900446,20250201,2,104,6977,60,4901.3,8685
900447,20250327,4,102,9237,99,5059.61,10777
900448,20250114,2,103,7933,49,3893.05,6198
900449,20250215,6,102,4036,17,1271.16,4369
900450,20250313,3,104,9899,108,8503.76,10911
900451,20250222,1,102,4260,14,841.9,3479
900452,20250321,3,103,7040,99,8662.95,14123
900453,20250120,4,103,6203,96,4661.55,15501
900454,20250131,2,103,7991,32,3708.99,4055
900455,20250121,2,101,8443,60,6259.57,7112
900456,20250123,5,102,8399,72,4808.08,8606
900457,20250222,2,104,5230,33,2166.56,6461
900458,20250104,5,104,6290,56,3647.54,8924
900459,20250123,6,104,9524,53,3355.74,5614
900460,20250212,1,101,11044,65,5594.57,5963
900461,20250222,4,101,6971,92,6447.77,13339
900462,20250327,5,103,9437,75,3683.33,7990
900463,20250201,1,104,6273,27,3234.09,4425
900464,20250204,2,101,5947,50,2107.66,8506
900465,20250121,2,103,10563,60,4504.58,5717
900466,20250331,1,104,7773,42,4007.93,5404
900467,20250114,2,102,9703,78,3988.48,8090
900468,20250218,6,103,7961,39,2348.37,4982
900469,20250105,6,101,5525,35,3609.41,6466
900470,20250302,1,101,4211,16,1908.1,3839
900471,20250129,5,103,10851,106,7638.83,9769
900472,20250126,5,103,11300,120,8815.69,10666
900473,20250228,1,101,3602,18,2114.54,5238
900474,20250214,5,102,11796,116,10562.31,9864
900475,20250209,5,104,4392,25,2537.91,5895
900476,20250130,6,102,8816,38,3486.88,4362
900477,20250129,5,103,3725,35,4154.1,9613
900478,20250104,3,102,9547,109,12781.05,11432
900479,20250326,4,101,10052,97,3961.85,9735
900480,20250125,2,103,7239,42,3395.87,5818
900481,20250221,3,104,11499,110,8322.85,9621
900482,20250212,5,101,9408,82,8346.57,8793
900483,20250205,6,101,11199,47,3177.08,4234
900484,20250109,1,104,3402,13,628.73,3977
900485,20250205,5,104,9815,55,2710.71,5703
900486,20250214,6,102,5321,31,2013.49,5853
900487,20250324,4,103,10460,119,9721.01,11389
900488,20250307,5,104,8706,77,3681.36,8900
900489,20250221,1,104,10412,34,1542.71,3306
900490,20250328,6,103,3732,14,585.3,3942
900491,20250310,6,104,8620,33,3107.65,3895
900492,20250212,6,104,5692,28,2275.83,4998
900493,20250104,4,102,5623,75,6359.09,13422
900494,20250115,5,101,10570,72,7475.07,6899
900495,20250203,4,101,6022,66,6021.73,11053
900496,20250123,2,101,10080,72,3048.15,7240
900497,20250316,2,101,6232,47,4106.68,7682
900498,20250203,5,104,9370,47,4529.81,5036
900499,20250105,4,103,6371,80,8014.88,12560
900500,20250114,1,103,4025,17,818.38,4364
900501,20250318,6,102,11796,53,3670.96,4531
900502,20250225,6,102,6228,42,2062.89,6748
900503,20250214,5,104,11019,102,11961.88,9323
900504,20250210,2,103,8134,72,5118.56,8890
900505,20250225,2,103,9431,83,4078.5,8808
900506,20250319,6,101,8766,59,5273.95,6750
900507,20250307,5,104,7873,78,6802.65,10033
900508,20250115,4,104,5194,68,3361.17,13131
900509,20250219,2,101,8003,39,2131.1,4958
900510,20250315,4,104,5316,87,6183.7,16369
900511,20250125,2,104,5258,45,3181.36,8708
900512,20250202,2,102,6043,48,4360.33,7986
900513,20250106,3,103,5838,50,3958.57,8733
900514,20250225,2,104,5298,29,1889.83,5532
900515,20250101,1,102,10389,47,2081.58,4537
900516,20250308,5,103,8882,45,3544.59,5078
900517,20250310,5,101,6196,72,5091.52,11678
900518,20250329,4,102,11281,210,16715.49,18699
900519,20250327,2,102,11056,81,7841.72,7404
900520,20250126,1,103,10272,41,2188.59,4001
900521,20250216,4,101,3505,40,2534.69,11613
900522,20250225,3,102,7503,72,5976.63,9683
900523,20250109,4,104,5755,89,7587.43,15492
900524,20250327,4,104,11115,189,15283.39,17006
900525,20250212,2,104,4871,30,3060.27,6194
900526,20250321,3,101,9010,134,14178.39,14880
900527,20250210,4,102,3681,72,5422.27,19779
900528,20250326,1,104,6580,24,1156.64,3741
900529,20250116,1,101,7055,22,2419.67,3219
900530,20250208,5,104,3528,30,1830.76,8684
900531,20250306,3,103,4425,58,6334.95,13193
900532,20250209,3,102,4923,48,2725.93,9882
900533,20250327,5,102,8744,94,8349.17,10822
900534,20250222,4,101,10015,107,9554.25,10719
900535,20250211,3,101,6385,59,6161.68,9390
900536,20250221,1,102,8747,36,2249.52,4180
900537,20250331,1,104,11827,31,2042.66,2689
900538,20250207,2,104,7794,49,4205.12,6370
900539,20250312,3,103,11428,86,4372.85,7560
900540,20250117,4,104,9743,87,10387.7,8971
900541,20250125,5,101,5078,54,5901.46,10746
900542,20250223,5,101,7090,43,4167.2,6198
900543,20250327,4,104,7055,134,9569.75,19079
900544,20250218,6,101,5329,41,3714.28,7730
900545,20250328,2,102,9786,69,5254.99,7073
900546,20250123,5,102,4525,37,3006.22,8300
900547,20250320,3,104,7558,91,6950.18,12046
900548,20250314,2,102,10996,73,6318.62,6681
900549,20250208,3,102,4526,61,5538.02,13511
900550,20250221,1,103,8869,48,2163.19,5482
900551,20250312,2,103,11756,85,4881.24,7258
900552,20250101,5,102,10039,118,6719.88,11757
900553,20250208,2,104,7399,49,5207.11,6644
900554,20250206,2,103,8533,72,6208.9,8483
900555,20250127,2,101,10951,74,8253.4,6815
900556,20250225,6,101,3793,12,575.59,3376
900557,20250316,2,101,10529,43,2147.38,4133
900558,20250319,3,104,5588,73,5586.07,13230
900559,20250325,1,102,10009,28,3350.35,2828
900560,20250211,4,101,5161,96,6158.33,18649
900561,20250301,2,104,7489,35,3232.85,4764
900562,20250226,5,103,7102,40,2789.9,5675
900563,20250226,2,102,5711,25,1792.68,4424
900564,20250328,5,103,8005,87,8348.11,10947
900565,20250128,3,104,6836,89,8227.05,13032
900566,20250307,5,101,4559,22,1255.62,5008
900567,20250302,4,101,4276,43,3762.26,10174
900568,20250122,1,104,11510,55,4158.29,4785
900569,20250326,5,101,3132,33,2227.04,10698
900570,20250111,5,102,4975,42,4011.94,8459
900571,20250206,1,104,10826,24,1399.58,2290
900572,20250307,4,103,4463,89,9298.41,19972
900573,20250326,2,104,4690,30,2082.15,6566
900574,20250323,5,102,7902,48,3389.65,6123
900575,20250321,1,102,5181,23,2747.01,4627
900576,20250212,3,104,5340,38,3132.75,7120
900577,20250112,1,104,3138,14,1288.02,4499
900578,20250131,3,101,10210,119,11637.55,11753
900579,20250328,4,102,5480,80,7142.89,14745
