date_id,full_date,day,month,month_name,quarter,year,week_number
20250315,15-03-2025,15,3,March,Q1,2025,11
20250316,16-03-2025,16,3,March,Q1,2025,11
20250317,17-03-2025,17,3,March,Q1,2025,12
20250318,18-03-2025,18,3,March,Q1,2025,12
20250319,19-03-2025,19,3,March,Q1,2025,12
20250320,20-03-2025,20,3,March,Q1,2025,12
20250321,21-03-2025,21,3,March,Q1,2025,12
20250322,22-03-2025,22,3,March,Q1,2025,12
20250323,23-03-2025,23,3,March,Q1,2025,12
20250324,24-03-2025,24,3,March,Q1,2025,13
20250325,25-03-2025,25,3,March,Q1,2025,13
20250326,26-03-2025,26,3,March,Q1,2025,13
20250327,27-03-2025,27,3,March,Q1,2025,13
20250328,28-03-2025,28,3,March,Q1,2025,13
20250329,29-03-2025,29,3,March,Q1,2025,13
20250330,30-03-2025,30,3,March,Q1,2025,13
20250331,31-03-2025,31,3,March,Q1,2025,14
20250401,01-04-2025,1,4,April,Q2,2025,14
20250402,02-04-2025,2,4,April,Q2,2025,14
20250403,03-04-2025,3,4,April,Q2,2025,14
20250404,04-04-2025,4,4,April,Q2,2025,14
20250405,05-04-2025,5,4,April,Q2,2025,14
20250406,06-04-2025,6,4,April,Q2,2025,14
20250407,07-04-2025,7,4,April,Q2,2025,15
20250408,08-04-2025,8,4,April,Q2,2025,15
20250409,09-04-2025,9,4,April,Q2,2025,15
20250410,10-04-2025,10,4,April,Q2,2025,15
20250411,11-04-2025,11,4,April,Q2,2025,15
20250412,12-04-2025,12,4,April,Q2,2025,15
20250413,13-04-2025,13,4,April,Q2,2025,15
20250414,14-04-2025,14,4,April,Q2,2025,16
20250415,15-04-2025,15,4,April,Q2,2025,16
20250416,16-04-2025,16,4,April,Q2,2025,16
20250417,17-04-2025,17,4,April,Q2,2025,16
20250418,18-04-2025,18,4,April,Q2,2025,16
20250419,19-04-2025,19,4,April,Q2,2025,16
20250420,20-04-2025,20,4,April,Q2,2025,16
20250421,21-04-2025,21,4,April,Q2,2025,17
20250422,22-04-2025,22,4,April,Q2,2025,17
20250423,23-04-2025,23,4,April,Q2,2025,17
20250424,24-04-2025,24,4,April,Q2,2025,17
20250425,25-04-2025,25,4,April,Q2,2025,17
20250426,26-04-2025,26,4,April,Q2,2025,17
20250427,27-04-2025,27,4,April,Q2,2025,17
20250428,28-04-2025,28,4,April,Q2,2025,18
20250429,29-04-2025,29,4,April,Q2,2025,18
20250430,30-04-2025,30,4,April,Q2,2025,18
20250501,01-05-2025,1,5,May,Q2,2025,18
20250502,02-05-2025,2,5,May,Q2,2025,18
20250503,03-05-2025,3,5,May,Q2,2025,18
20250504,04-05-2025,4,5,May,Q2,2025,18
20250505,05-05-2025,5,5,May,Q2,2025,19
20250506,06-05-2025,6,5,May,Q2,2025,19
20250507,07-05-2025,7,5,May,Q2,2025,19
20250508,08-05-2025,8,5,May,Q2,2025,19
20250509,09-05-2025,9,5,May,Q2,2025,19
20250510,10-05-2025,10,5,May,Q2,2025,19
20250511,11-05-2025,11,5,May,Q2,2025,19
20250512,12-05-2025,12,5,May,Q2,2025,20
20250513,13-05-2025,13,5,May,Q2,2025,20
20250514,14-05-2025,14,5,May,Q2,2025,20
20250515,15-05-2025,15,5,May,Q2,2025,20
20250516,16-05-2025,16,5,May,Q2,2025,20
20250517,17-05-2025,17,5,May,Q2,2025,20
20250518,18-05-2025,18,5,May,Q2,2025,20
20250519,19-05-2025,19,5,May,Q2,2025,21
20250520,20-05-2025,20,5,May,Q2,2025,21
20250521,21-05-2025,21,5,May,Q2,2025,21
20250522,22-05-2025,22,5,May,Q2,2025,21
20250523,23-05-2025,23,5,May,Q2,2025,21
20250524,24-05-2025,24,5,May,Q2,2025,21
20250525,25-05-2025,25,5,May,Q2,2025,21
20250526,26-05-2025,26,5,May,Q2,2025,22
20250527,27-05-2025,27,5,May,Q2,2025,22
20250528,28-05-2025,28,5,May,Q2,2025,22
20250529,29-05-2025,29,5,May,Q2,2025,22
20250530,30-05-2025,30,5,May,Q2,2025,22
20250531,31-05-2025,31,5,May,Q2,2025,22
20250601,01-06-2025,1,6,June,Q2,2025,22
20250602,02-06-2025,2,6,June,Q2,2025,23
20250603,03-06-2025,3,6,June,Q2,2025,23
20250604,04-06-2025,4,6,June,Q2,2025,23
20250605,05-06-2025,5,6,June,Q2,2025,23
20250606,06-06-2025,6,6,June,Q2,2025,23
20250607,07-06-2025,7,6,June,Q2,2025,23
20250608,08-06-2025,8,6,June,Q2,2025,23
20250609,09-06-2025,9,6,June,Q2,2025,24
20250610,10-06-2025,10,6,June,Q2,2025,24
20250611,11-06-2025,11,6,June,Q2,2025,24
20250612,12-06-2025,12,6,June,Q2,2025,24
20250613,13-06-2025,13,6,June,Q2,2025,24
20250614,14-06-2025,14,6,June,Q2,2025,24
20250615,15-06-2025,15,6,June,Q2,2025,24
20250616,16-06-2025,16,6,June,Q2,2025,25
20250617,17-06-2025,17,6,June,Q2,2025,25
20250618,18-06-2025,18,6,June,Q2,2025,25
20250619,19-06-2025,19,6,June,Q2,2025,25
20250620,20-06-2025,20,6,June,Q2,2025,25
20250621,21-06-2025,21,6,June,Q2,2025,25
20250622,22-06-2025,22,6,June,Q2,2025,25
20250623,23-06-2025,23,6,June,Q2,2025,26
20250624,24-06-2025,24,6,June,Q2,2025,26
20250625,25-06-2025,25,6,June,Q2,2025,26
20250626,26-06-2025,26,6,June,Q2,2025,26
20250627,27-06-2025,27,6,June,Q2,2025,26
20250628,28-06-2025,28,6,June,Q2,2025,26
20250629,29-06-2025,29,6,June,Q2,2025,26
20250630,30-06-2025,30,6,June,Q2,2025,27
20250701,01-07-2025,1,7,July,Q3,2025,27
20250702,02-07-2025,2,7,July,Q3,2025,27
20250703,03-07-2025,3,7,July,Q3,2025,27
20250704,04-07-2025,4,7,July,Q3,2025,27
20250705,05-07-2025,5,7,July,Q3,2025,27
20250706,06-07-2025,6,7,July,Q3,2025,27
20250707,07-07-2025,7,7,July,Q3,2025,28
20250708,08-07-2025,8,7,July,Q3,2025,28
20250709,09-07-2025,9,7,July,Q3,2025,28
20250710,10-07-2025,10,7,July,Q3,2025,28
20250711,11-07-2025,11,7,July,Q3,2025,28
20250712,12-07-2025,12,7,July,Q3,2025,28
20250713,13-07-2025,13,7,July,Q3,2025,28
20250714,14-07-2025,14,7,July,Q3,2025,29
20250715,15-07-2025,15,7,July,Q3,2025,29
20250716,16-07-2025,16,7,July,Q3,2025,29
20250717,17-07-2025,17,7,July,Q3,2025,29
20250718,18-07-2025,18,7,July,Q3,2025,29
20250719,19-07-2025,19,7,July,Q3,2025,29
20250720,20-07-2025,20,7,July,Q3,2025,29
20250721,21-07-2025,21,7,July,Q3,2025,30
20250722,22-07-2025,22,7,July,Q3,2025,30
20250723,23-07-2025,23,7,July,Q3,2025,30
20250724,24-07-2025,24,7,July,Q3,2025,30
20250725,25-07-2025,25,7,July,Q3,2025,30
20250726,26-07-2025,26,7,July,Q3,2025,30
20250727,27-07-2025,27,7,July,Q3,2025,30
20250728,28-07-2025,28,7,July,Q3,2025,31
20250729,29-07-2025,29,7,July,Q3,2025,31
20250730,30-07-2025,30,7,July,Q3,2025,31
20250731,31-07-2025,31,7,July,Q3,2025,31
20250801,01-08-2025,1,8,August,Q3,2025,31
20250802,02-08-2025,2,8,August,Q3,2025,31
20250803,03-08-2025,3,8,August,Q3,2025,31
20250804,04-08-2025,4,8,August,Q3,2025,32
20250805,05-08-2025,5,8,August,Q3,2025,32
20250806,06-08-2025,6,8,August,Q3,2025,32
20250807,07-08-2025,7,8,August,Q3,2025,32
20250808,08-08-2025,8,8,August,Q3,2025,32
20250809,09-08-2025,9,8,August,Q3,2025,32
20250810,10-08-2025,10,8,August,Q3,2025,32
20250811,11-08-2025,11,8,August,Q3,2025,33
20250812,12-08-2025,12,8,August,Q3,2025,33
20250813,13-08-2025,13,8,August,Q3,2025,33
20250814,14-08-2025,14,8,August,Q3,2025,33
20250815,15-08-2025,15,8,August,Q3,2025,33
20250816,16-08-2025,16,8,August,Q3,2025,33
20250817,17-08-2025,17,8,August,Q3,2025,33
20250818,18-08-2025,18,8,August,Q3,2025,34
20250819,19-08-2025,19,8,August,Q3,2025,34
20250820,20-08-2025,20,8,August,Q3,2025,34
20250821,21-08-2025,21,8,August,Q3,2025,34
20250822,22-08-2025,22,8,August,Q3,2025,34
20250823,23-08-2025,23,8,August,Q3,2025,34
20250824,24-08-2025,24,8,August,Q3,2025,34
20250825,25-08-2025,25,8,August,Q3,2025,35
20250826,26-08-2025,26,8,August,Q3,2025,35
20250827,27-08-2025,27,8,August,Q3,2025,35
20250828,28-08-2025,28,8,August,Q3,2025,35
20250829,29-08-2025,29,8,August,Q3,2025,35
20250830,30-08-2025,30,8,August,Q3,2025,35
20250831,31-08-2025,31,8,August,Q3,2025,35
20250901,01-09-2025,1,9,September,Q3,2025,36
20250902,02-09-2025,2,9,September,Q3,2025,36
20250903,03-09-2025,3,9,September,Q3,2025,36
20250904,04-09-2025,4,9,September,Q3,2025,36
20250905,05-09-2025,5,9,September,Q3,2025,36
20250906,06-09-2025,6,9,September,Q3,2025,36
20250907,07-09-2025,7,9,September,Q3,2025,36
20250908,08-09-2025,8,9,September,Q3,2025,37
20250909,09-09-2025,9,9,September,Q3,2025,37
20250910,10-09-2025,10,9,September,Q3,2025,37
20250911,11-09-2025,11,9,September,Q3,2025,37
20250912,12-09-2025,12,9,September,Q3,2025,37
20250913,13-09-2025,13,9,September,Q3,2025,37
20250914,14-09-2025,14,9,September,Q3,2025,37
20250915,15-09-2025,15,9,September,Q3,2025,38
20250916,16-09-2025,16,9,September,Q3,2025,38
20250917,17-09-2025,17,9,September,Q3,2025,38
20250918,18-09-2025,18,9,September,Q3,2025,38
20250919,19-09-2025,19,9,September,Q3,2025,38
20250920,20-09-2025,20,9,September,Q3,2025,38
20250921,21-09-2025,21,9,September,Q3,2025,38
20250922,22-09-2025,22,9,September,Q3,2025,39
20250923,23-09-2025,23,9,September,Q3,2025,39
20250924,24-09-2025,24,9,September,Q3,2025,39
20250925,25-09-2025,25,9,September,Q3,2025,39
20250926,26-09-2025,26,9,September,Q3,2025,39
20250927,27-09-2025,27,9,September,Q3,2025,39
20250928,28-09-2025,28,9,September,Q3,2025,39
20250929,29-09-2025,29,9,September,Q3,2025,40
20250930,30-09-2025,30,9,September,Q3,2025,40
20251001,01-10-2025,1,10,October,Q4,2025,40
20251002,02-10-2025,2,10,October,Q4,2025,40
20251003,03-10-2025,3,10,October,Q4,2025,40
20251004,04-10-2025,4,10,October,Q4,2025,40
20251005,05-10-2025,5,10,October,Q4,2025,40
20251006,06-10-2025,6,10,October,Q4,2025,41
20251007,07-10-2025,7,10,October,Q4,2025,41
20251008,08-10-2025,8,10,October,Q4,2025,41
20251009,09-10-2025,9,10,October,Q4,2025,41
20251010,10-10-2025,10,10,October,Q4,2025,41
20251011,11-10-2025,11,10,October,Q4,2025,41
20251012,12-10-2025,12,10,October,Q4,2025,41
20251013,13-10-2025,13,10,October,Q4,2025,42
20251014,14-10-2025,14,10,October,Q4,2025,42
20251015,15-10-2025,15,10,October,Q4,2025,42
20251016,16-10-2025,16,10,October,Q4,2025,42
20251017,17-10-2025,17,10,October,Q4,2025,42
20251018,18-10-2025,18,10,October,Q4,2025,42
20251019,19-10-2025,19,10,October,Q4,2025,42
20251020,20-10-2025,20,10,October,Q4,2025,43
20251021,21-10-2025,21,10,October,Q4,2025,43
20251022,22-10-2025,22,10,October,Q4,2025,43
20251023,23-10-2025,23,10,October,Q4,2025,43
20251024,24-10-2025,24,10,October,Q4,2025,43
20251025,25-10-2025,25,10,October,Q4,2025,43
20251026,26-10-2025,26,10,October,Q4,2025,43
20251027,27-10-2025,27,10,October,Q4,2025,44
20251028,28-10-2025,28,10,October,Q4,2025,44
20251029,29-10-2025,29,10,October,Q4,2025,44
20251030,30-10-2025,30,10,October,Q4,2025,44
20251031,31-10-2025,31,10,October,Q4,2025,44
20251101,01-11-2025,1,11,November,Q4,2025,44
20251102,02-11-2025,2,11,November,Q4,2025,44
20251103,03-11-2025,3,11,November,Q4,2025,45
20251104,04-11-2025,4,11,November,Q4,2025,45
20251105,05-11-2025,5,11,November,Q4,2025,45
20251106,06-11-2025,6,11,November,Q4,2025,45
20251107,07-11-2025,7,11,November,Q4,2025,45
20251108,08-11-2025,8,11,November,Q4,2025,45
20251109,09-11-2025,9,11,November,Q4,2025,45
20251110,10-11-2025,10,11,November,Q4,2025,46
20251111,11-11-2025,11,11,November,Q4,2025,46
20251112,12-11-2025,12,11,November,Q4,2025,46
20251113,13-11-2025,13,11,November,Q4,2025,46
20251114,14-11-2025,14,11,November,Q4,2025,46
20251115,15-11-2025,15,11,November,Q4,2025,46
20251116,16-11-2025,16,11,November,Q4,2025,46
20251117,17-11-2025,17,11,November,Q4,2025,47
20251118,18-11-2025,18,11,November,Q4,2025,47
20251119,19-11-2025,19,11,November,Q4,2025,47
20251120,20-11-2025,20,11,November,Q4,2025,47
20251121,21-11-2025,21,11,November,Q4,2025,47
20251122,22-11-2025,22,11,November,Q4,2025,47
20251123,23-11-2025,23,11,November,Q4,2025,47
20251124,24-11-2025,24,11,November,Q4,2025,48
20251125,25-11-2025,25,11,November,Q4,2025,48
20251126,26-11-2025,26,11,November,Q4,2025,48
20251127,27-11-2025,27,11,November,Q4,2025,48
20251128,28-11-2025,28,11,November,Q4,2025,48
20251129,29-11-2025,29,11,November,Q4,2025,48
20251130,30-11-2025,30,11,November,Q4,2025,48
20251201,01-12-2025,1,12,December,Q4,2025,49
20251202,02-12-2025,2,12,December,Q4,2025,49
20251203,03-12-2025,3,12,December,Q4,2025,49
20251204,04-12-2025,4,12,December,Q4,2025,49
20251205,05-12-2025,5,12,December,Q4,2025,49
20251206,06-12-2025,6,12,December,Q4,2025,49
20251207,07-12-2025,7,12,December,Q4,2025,49
20251208,08-12-2025,8,12,December,Q4,2025,50
20251209,09-12-2025,9,12,December,Q4,2025,50
20251210,10-12-2025,10,12,December,Q4,2025,50
20251211,11-12-2025,11,12,December,Q4,2025,50
20251212,12-12-2025,12,12,December,Q4,2025,50
20251213,13-12-2025,13,12,December,Q4,2025,50
20251214,14-12-2025,14,12,December,Q4,2025,50
20251215,15-12-2025,15,12,December,Q4,2025,51
20251216,16-12-2025,16,12,December,Q4,2025,51
20251217,17-12-2025,17,12,December,Q4,2025,51
20251218,18-12-2025,18,12,December,Q4,2025,51
20251219,19-12-2025,19,12,December,Q4,2025,51
20251220,20-12-2025,20,12,December,Q4,2025,51
20251221,21-12-2025,21,12,December,Q4,2025,51
20251222,22-12-2025,22,12,December,Q4,2025,52
20251223,23-12-2025,23,12,December,Q4,2025,52
20251224,24-12-2025,24,12,December,Q4,2025,52
20251225,25-12-2025,25,12,December,Q4,2025,52
20251226,26-12-2025,26,12,December,Q4,2025,52
20251227,27-12-2025,27,12,December,Q4,2025,52
20251228,28-12-2025,28,12,December,Q4,2025,52
20251229,29-12-2025,29,12,December,Q4,2025,1
20251230,30-12-2025,30,12,December,Q4,2025,1
20251231,31-12-2025,31,12,December,Q4,2025,1
